train_loss,val_loss
-9.979116012803924,-8.746202664375305
-9.974082479490995,-8.865145783424378
-9.99883261750933,-8.881006105422973
-10.009181128814157,-8.920170269648233
-10.008074716185398,-8.789935101826986
-9.997304390651287,-8.868540737787882
-10.012269202207042,-8.899298356056214
-10.0284740608913,-8.892014327049255
-10.044008224903658,-8.857810981114705
-10.044204278878405,-8.811445551554362
-10.229823084862183,-9.058815218289693
-10.257866564500297,-9.04121015516917
-10.27566265457851,-9.068338082949321
-10.281859880408003,-9.04752994441986
-10.308713045204636,-9.008201192855834
-10.320800557375657,-9.06601867612203
-10.330494618204842,-9.041106830279032
-10.320481081262098,-9.022729601860046
-10.339761747568406,-9.085103356043497
-10.37626265514565,-9.0725407594045
-10.358564073286928,-9.041403131167094
-10.378208434771647,-9.029929790496826
-10.379153157349533,-9.065808868090311
-10.382607182921912,-9.061739103953043
-10.394587766878022,-9.115744808832805
-10.379424379680712,-9.031647616068522
-10.383850927606094,-9.06492549419403
-10.410207610172508,-9.120660055478414
-10.404413591120447,-9.064732504208882
-10.410468431208338,-9.092965784072875
-10.434410136850182,-9.07450160598755
-10.424027992181019,-9.108939284642537
-10.437687047210064,-9.081280263900757
-10.43963294769107,-9.064894662857055
-10.510819274429727,-9.168187636693318
-10.531861638319528,-9.175981349627177
-10.545830645941,-9.162801102320353
-10.555228050366967,-9.189977017402649
-10.570892612097186,-9.18851927057902
-10.57926708452118,-9.18270721658071
-10.579557629700608,-9.18709662882487
-10.578440912859982,-9.201356461207071
-10.595115309577425,-9.146512950579325
-10.594647305075046,-9.179475190798442
-10.59870165439482,-9.239158995946248
-10.610305356360467,-9.18053770828247
-10.590679419525957,-9.146511074701944
-10.599427319135637,-9.207597921689352
-10.61733065979319,-9.215880048751831
-10.618409284012156,-9.200285608927409
-10.618535765363756,-9.212602465311686
-10.667289842870032,-9.254968334197999
-10.664023630710478,-9.200202894210815
-10.673808803502085,-9.20606529490153
-10.689021787952884,-9.214203179677327
-10.675313066578193,-9.220286049524944
-10.675337499432858,-9.243356184005737
-10.6853760955608,-9.212858911514282
-10.696896446025477,-9.242285361925761
-10.70247007679447,-9.210829112052917
-10.701885603845646,-9.283647594451905
-10.705212390415788,-9.270986314773559
-10.70921925491288,-9.243160641352336
-10.699591097339416,-9.21709614054362
-10.712573157172638,-9.224369123458862
-10.728450712637212,-9.273077815373739
-10.715637103927522,-9.258919301668803
-10.720471555771729,-9.245731874783834
-10.721081515230612,-9.257836822509766
-10.732907949520776,-9.228360986073811
-10.735245482914568,-9.234457984606426
-10.730362684142976,-9.242864736557006
-10.724995056309883,-9.214460626284282
-10.738700573873379,-9.264208859125773
-10.736991730467759,-9.242938245773315
-10.72889187044802,-9.259156010309855
-10.742235532046069,-9.258987564722696
-10.731632990879294,-9.26511864344279
